"age_group","is_female","category","N","count","percent"
"[40,45)",0,"Activity limitation",6510,0,0
"[40,45)",1,"Activity limitation",13069,0,0
"[45,50)",0,"Activity limitation",7521,0,0
"[45,50)",1,"Activity limitation",13729,0,0
"[50,55)",0,"Activity limitation",9542,0,0
"[50,55)",1,"Activity limitation",16444,0,0
"[55,60)",0,"Activity limitation",12063,0,0
"[55,60)",1,"Activity limitation",19021,0,0
"[60,65)",0,"Activity limitation",12801,0,0
"[60,65)",1,"Activity limitation",18803,0,0
"[65,70)",0,"Activity limitation",12266,0,0
"[65,70)",1,"Activity limitation",17867,0,0
"[70,75)",0,"Activity limitation",11053,0,0
"[70,75)",1,"Activity limitation",14077,0,0
"[75,80)",0,"Activity limitation",7352,0,0
"[75,80)",1,"Activity limitation",8225,0,0
"[80,100]",0,"Activity limitation",5447,0,0
"[80,100]",1,"Activity limitation",5778,0,0
"[40,45)",0,"Anaemia and haematinic deficiency",6510,317,0.0486943164362519
"[40,45)",1,"Anaemia and haematinic deficiency",13069,1197,0.0915907873594001
"[45,50)",0,"Anaemia and haematinic deficiency",7521,482,0.064087222443824
"[45,50)",1,"Anaemia and haematinic deficiency",13729,1334,0.0971665816883968
"[50,55)",0,"Anaemia and haematinic deficiency",9542,635,0.0665478935233704
"[50,55)",1,"Anaemia and haematinic deficiency",16444,1389,0.0844684991486256
"[55,60)",0,"Anaemia and haematinic deficiency",12063,851,0.0705462985990218
"[55,60)",1,"Anaemia and haematinic deficiency",19021,1492,0.0784396193680669
"[60,65)",0,"Anaemia and haematinic deficiency",12801,1038,0.0810874150456996
"[60,65)",1,"Anaemia and haematinic deficiency",18803,1483,0.07887039302239
"[65,70)",0,"Anaemia and haematinic deficiency",12266,1086,0.0885374205119843
"[65,70)",1,"Anaemia and haematinic deficiency",17867,1573,0.088039402249958
"[70,75)",0,"Anaemia and haematinic deficiency",11053,1049,0.0949063602641817
"[70,75)",1,"Anaemia and haematinic deficiency",14077,1366,0.0970377211053492
"[75,80)",0,"Anaemia and haematinic deficiency",7352,817,0.111126224156692
"[75,80)",1,"Anaemia and haematinic deficiency",8225,872,0.106018237082067
"[80,100]",0,"Anaemia and haematinic deficiency",5447,796,0.14613548742427
"[80,100]",1,"Anaemia and haematinic deficiency",5778,779,0.134821737625476
"[40,45)",0,"Arthritis",6510,405,0.0622119815668203
"[40,45)",1,"Arthritis",13069,1238,0.0947279822480679
"[45,50)",0,"Arthritis",7521,737,0.09799228825954
"[45,50)",1,"Arthritis",13729,1936,0.141015368927089
"[50,55)",0,"Arthritis",9542,1185,0.124187801299518
"[50,55)",1,"Arthritis",16444,2975,0.180917051812211
"[55,60)",0,"Arthritis",12063,1938,0.160656553096245
"[55,60)",1,"Arthritis",19021,4383,0.230429525261553
"[60,65)",0,"Arthritis",12801,2534,0.197953284899617
"[60,65)",1,"Arthritis",18803,5034,0.267723235653885
"[65,70)",0,"Arthritis",12266,2878,0.234632316973749
"[65,70)",1,"Arthritis",17867,5607,0.313818772037835
"[70,75)",0,"Arthritis",11053,3046,0.275581290147471
"[70,75)",1,"Arthritis",14077,4956,0.35206364992541
"[75,80)",0,"Arthritis",7352,2120,0.28835690968444
"[75,80)",1,"Arthritis",8225,3100,0.376899696048632
"[80,100]",0,"Arthritis",5447,1791,0.328804846704608
"[80,100]",1,"Arthritis",5778,2348,0.406368985808238
